Frame_ID,Capture_ms,Encode_Send_ms,Network_ms,Decode_ms,YOLO_ms,Lane_ms,Decision_ms,Send_ms,GPIO_ms,Total_ms
410,2.488,5.269,9.259,1.317,217.79,2.783,0.017,0.141,0.016,239.16
411,4.224,5.499,11.132,1.296,229.495,3.069,0.019,0.151,0.017,254.995
412,2.551,5.314,9.337,1.253,219.319,2.766,0.016,0.138,0.017,240.792
413,2.531,5.32,10.087,1.297,219.468,2.869,0.016,0.147,0.016,241.831
414,2.553,5.302,9.596,1.33,222.198,3.0,0.016,0.144,0.016,244.234
415,2.509,5.312,9.69,1.298,233.034,3.203,0.024,0.185,0.017,255.354
416,2.514,5.319,9.241,1.356,229.157,2.829,0.016,0.186,0.017,250.713
417,2.52,5.297,9.425,1.302,232.113,3.008,0.04,0.178,0.016,253.98
418,2.542,5.284,10.251,1.632,248.272,3.022,0.015,0.148,0.017,271.261
419,4.807,5.601,10.489,1.312,253.581,4.241,0.04,0.205,0.018,280.38
420,4.883,5.525,12.487,1.783,259.911,3.755,0.026,0.164,0.017,288.635
421,4.848,5.591,10.11,1.896,252.195,3.107,0.019,0.128,0.018,278.002
422,4.809,5.485,10.014,1.39,252.677,2.918,0.018,0.146,0.017,277.563
423,4.94,5.491,9.717,1.428,242.315,4.127,0.019,0.147,0.018,268.29
424,2.533,5.297,11.686,1.681,248.27,3.376,0.024,0.143,0.016,273.103
425,4.361,5.614,12.162,1.836,259.946,3.347,0.026,0.196,0.035,287.648
426,3.519,11.767,10.502,1.591,256.784,4.257,0.029,0.208,0.017,288.787
427,2.515,5.303,12.668,2.041,255.868,5.195,0.033,0.247,0.017,283.966
428,2.526,5.06,14.788,1.795,309.7,3.243,0.027,0.167,0.037,337.422
429,2.492,5.08,13.114,1.623,280.649,6.04,0.037,0.257,0.017,309.39
430,4.687,5.135,13.273,1.634,275.171,4.16,0.028,0.328,0.016,304.565
431,2.5,5.011,14.914,1.729,295.23,3.615,0.019,0.222,0.016,323.336
432,2.477,5.028,11.483,1.284,249.077,2.932,0.029,0.182,0.017,272.589
433,2.478,5.033,9.775,1.815,251.271,2.562,0.019,0.168,0.017,273.22
434,2.507,5.022,9.646,1.521,250.628,2.566,0.019,0.157,0.016,272.164
435,2.538,5.174,8.971,1.393,234.159,3.892,0.021,0.137,0.017,256.385
436,2.503,4.877,9.106,1.101,245.401,12.99,0.035,0.191,0.017,276.299
437,2.529,5.023,10.748,1.305,241.406,16.192,0.041,0.556,0.018,277.91
438,5.279,5.098,10.33,1.689,250.126,9.315,0.016,0.221,0.017,282.191
439,4.809,5.256,9.211,1.233,246.541,6.777,0.031,0.177,0.018,274.153
440,2.492,5.117,8.935,1.249,247.951,6.147,0.016,0.172,0.017,272.188
441,2.557,5.103,10.577,1.495,253.132,5.311,0.018,0.157,0.016,278.445
442,2.537,5.038,11.042,1.38,262.302,6.568,0.03,0.202,0.017,289.198
443,5.59,12.639,12.95,1.756,365.045,12.851,0.033,0.506,0.017,411.489
444,2.539,5.088,16.802,1.567,617.976,15.32,0.025,0.22,0.016,659.632
445,2.525,5.024,27.044,1.946,296.906,6.105,0.04,0.252,0.016,339.939
